# Start logging at 2021-09-21 14:40:11 Mitteleuropäische Sommerzeit
[14:40:11] connected
[14:41:36]  j0nas500: a
[14:41:48] j0nas500 redeemed Trink Wasser 200
[14:42:09] j0nas500 is live!
[14:43:31]  fabxx45: was heißt hier kurz du a
[14:51:07]  zukado_: peepoBlanket peepoBlanket
[14:53:23]  lillyisthier: hast du nichts besseres zu tun als DBD?
[14:53:52]  lillyisthier: warum heute hast du doch Zeit dafür
[14:55:11]  lillyisthier: und hast du dich schon entschieden wegen der Fahrschule
[14:56:16]  lillyisthier: wo rauf musst du warten?
[14:56:45]  lillyisthier: läuft bei dir
[14:57:11]  lillyisthier: ich will das aber auch so schnell wie möglich fertig haben
[14:57:53]  lillyisthier: für den Schein wirst du auch erste Hilfe brauchen
[14:58:55]  lillyisthier: aber immerhin bist du schon fertig für diese Runde
[15:02:07]  lillyisthier: Musik ist ganz schön laut
[15:02:33]  lillyisthier: besser
[15:03:36]  lillyisthier: heute lief noch gar nichts
[15:04:04]  lillyisthier: kommt ja erst noch
[15:04:39]  lillyisthier: die Übungen waren diese Woche noch nicht
[15:05:43]  lillyisthier: also hatten wir frei manche profs machen machen Vorlesungen statt Übung aber Wetenkamp nicht
[15:06:25]  lillyisthier: und 15:45 ist ja auch erst in 40 Minute da kann ich dich auch noch Nerven
[15:18:23]  lillyisthier: hast du schon einen neuen Termin für Among us oder läuft es nicht so gut
[15:18:46]  lillyisthier: ich bin ungeduldig
[15:21:44]  lillyisthier: damit ich die Umfrage anschauen kann muss ich nen neuen Name eintragen und noch mal Teil nehmen kannst du Lill entfernen?
[15:22:07]  lillyisthier: hab ich ging nicht
[15:22:14]  fabxx45: I CAME
[15:22:16]  j0nas500: Folge mir auf Twitter: https://twitter.com/j0nas500
[15:22:29]  lillyisthier: okay
[15:22:39]  lillyisthier: das Kriege ich hin
[15:24:14]  lillyisthier: also wenn wirklich nur am Wochenende gut gehen kann kann ich das bestimmt irgendwie Einrichten wer braucht schon Familien Beziehungen
[15:24:27]  lillyisthier: Außer Freitag da absolut nicht
[15:25:05]  fabxx45: so frech diese hag
[15:26:04]  fabxx45: mach einfach 5 gens
[15:27:15]  fabxx45: prove und macht garnix
[15:27:17]  fabxx45: so ein hund
[15:28:01]  fabxx45: wenn wir im chemie bei uns scheiße oder so sagen sagt unser lehrer immer er hat keine bembas
[15:28:25]  fabxx45: pampers
[15:30:07]  fabxx45: also hag
[15:30:08]  fabxx45: also mades
[15:30:30]  fabxx45: jaja hag
[15:31:45]  fabxx45: i mean in low mmr zockt halt auch jeder noed
[15:32:05]  fabxx45: deswegen ist low mmr so eine falle
[15:32:43]  fabxx45: basement bubba so geil
[15:32:45]  fabxx45: Kappa
[15:33:14]  fabxx45: I CAME
[15:34:25]  fabxx45: digga amazon war schneller als sonst was die maus nach einem tag angekommen
[15:34:28]  lillyisthier: ich geh jetzt zur Vorlesung ich wünsche dir noch viel Spaß
[15:34:55]  fabxx45: und ich hab jetzt auch jedes dlc
[15:35:19]  fabxx45: hab noch 25 euro auf steam
[15:35:28]  fabxx45: mir haben ja nur noch 2 gefehlt
[15:35:56]  fabxx45: nemisus und piggy hat gefehlt
[15:43:23] Updated title to ganz entspannt fertig gemacht werden
[15:47:07]  fabxx45: ^jonas du schafst das
[15:47:11]  fabxx45: warum nicht incidies
[15:47:13]  fabxx45: Pog
[15:49:47]  fabxx45: iron grasp
[15:49:58]  fabxx45: bist ja kein basement bubba
[15:50:49]  nocho__: nochoOii
[15:50:56]  j0nas500: Alle Befehle: https://j0nas500.de/commands
[15:51:00]  nocho__: heyho
[15:51:03]  nessie_2002: heiii
[15:51:14]  nocho__: ich lebe noch ^^
[15:51:21]  fabxx45: mach basement bubba
[15:51:40]  nessie_2002: können wir zusammen spielen joners?
[15:52:35]  fabxx45: j0 kann ich auch dann mitmachen
[15:52:38]  fabxx45: kann eh auch nciht länger
[15:52:39]  fabxx45: Pog
[15:53:12]  nocho__: ja chase dauert viel zu lange
[15:57:30]  fabxx45: ok genius made er lässt sich graben
[15:59:06]  fabxx45: ach jonas ncihtmal basement bubba XD
[16:00:48]  nessie_2002: welchen server ?
[16:42:09] j0nas500 is now offline.
