# Start logging at 2021-10-02 16:13:29 Mitteleuropäische Sommerzeit
[16:13:29] connected
[16:14:06] j0nas500 redeemed Trink Wasser 200
[16:14:26] j0nas500 is live!
[16:15:40]  annitheghost: Halluuu
[16:15:51]  fabxx45: sims 4
[16:15:59]  lillyisthier: wie bist du den auf dieses Spiel gekommen?
[16:16:11]  fabxx45: goarnix gemacht
[16:17:00]  fabxx45: wie willst du das ich aussehe XD
[16:17:04]  fabxx45: du weißt es ja nicht
# Start logging at 2021-10-02 16:19:50 Mitteleuropäische Sommerzeit
[16:19:50] connected
[16:19:51] j0nas500 is live!
[16:20:34]  fabxx45: fast der letzte stronks
[16:20:58]  majorgurke05: Ich meld mich freiwillig
[16:21:11]  majorgurke05: Zum Schwul werden
[16:21:24]  majorgurke05: Keine Ahnung. Steve?
[16:22:14]  fabxx45: und wenn man in game erwachsen wird XD
[16:22:52]  fabxx45: ich weiß es ich hab lange sims 4 gespielt
[16:23:24]  fabxx45: is aber fasd
[16:23:24]  lillyisthier: ich war kurz Weg warum ist Gurke schwul?
[16:23:27]  fabxx45: fad
[16:23:42]  fabxx45: einfach kein robert
[16:24:10]  lillyisthier: es gibt NPCs ne?
[16:24:10]  fabxx45: ich schon
[16:24:18]  j0nas500: Schau doch gerne mal bei unserer Community-Webseite vorbei :) https://mvbuddies.de
[16:24:50]  lillyisthier: und da gibt es auch Frauen
[16:26:24]  lillyisthier: das kannst du auch auslassen dann stellt sich das zufällig wären dem Spiels ein
[16:27:21]  lillyisthier: wenn du nichts aus wählst bist du neutral da zu
[16:28:18]  fabxx45: lion 100%
[16:28:44]  fabxx45: du bist bücherwurm
[16:28:47]  fabxx45: Pog
[16:29:25]  lillyisthier: hast du nur das base game jetzt?
[16:29:44]  fabxx45: keine vampire fad
[16:30:25]  fabxx45: aber woher hast du das game gratis
[16:30:29]  lillyisthier: aber Mods kannst du dir ja anschauen
[16:30:41]  majorgurke05: Ich hoff ihr freut euch auf nen Charakter Creator Stream
[16:31:18]  lillyisthier: für manche Mods braucht man aber bestimmte erweiterungs Pakete
[16:31:25]  fabxx45: du bist doch ein romantiker Kappa
[16:32:00]  majorgurke05: Pack einfach noch Genie rein und gut ist
[16:32:49]  fabxx45: du bist schanger j0 gg
[16:32:50]  lillyisthier: ich bin so Zusagen Sims Experte ist das einzige Spiel das ich im lets play schaue
[16:34:38]  fabxx45: so das wird jetzt sus
[16:35:27]  fabxx45: ole baumgartner
[16:35:38]  fabxx45: ja
[16:35:55]  fabxx45: einer muss es ja
[16:38:14]  fabxx45: änderst du das ausehen dann auch noch?
[16:38:47]  fabxx45: gönn dir
[16:43:24]  fabxx45: Baumhaus
[16:44:24]  lillyisthier: wie viele Leute werden es denn noch
[16:44:48]  lillyisthier: wer kommt dann alles?
[16:45:21]  majorgurke05: Ich seh grade, dass bei den Musikrichtungen kein Metal steht. Ich fühl mich diskriminiert
[16:45:53]  fabxx45: @majorgurke05 dasm war das erste was ich gecheckt hab
[16:46:48]  lillyisthier: kommen einfach alle von deinem Discord Server?
[16:46:48]  j0nas500: Discord: jnkl.de/dc
[16:48:03]  majorgurke05: Was soll ich wissen?
[16:48:29]  fabxx45: monke
[16:48:38]  j0nas500: Auf diesem Discord Server quatschen und schreiben wir immer: https://jnkl.de/dc
[16:48:40]  majorgurke05: Bei Latein fragst du den falschen. Nur weil ich mein Latinum hab, heißt das nicht, dass ich es auch kann
[16:49:16]  fabxx45: imagine in sims ingame tod einlösen
[16:49:53]  fabxx45: wäre schon lustig
[16:49:56]  lillyisthier: weiß weiß du gehst ja nie raus
[16:51:10]  lillyisthier: weil du eine Vorlage nutzt du kannst auch an den Körperteilen selbst rum ziehen
[16:51:48]  lillyisthier: eine Runde Mitleid das gibt's hier nicht
[16:52:46]  lillyisthier: custom content all the way baby
[16:53:30]  lillyisthier: wähl ein anderes Kinn aus
[16:54:06]  lillyisthier: diese Superman grübchen ist seltsam
[16:55:08]  lillyisthier: es wird nicht eins zu eins wie du aus sehen
[16:55:48]  lillyisthier: dein Gesicht ist nicht so lang glaube ich
[16:56:44]  lillyisthier: weiß nicht ich Schau mir Sim creation nie an find ich langweilig
[16:57:08]  lillyisthier: für dich bin ich aber hier
[16:57:35]  lillyisthier: und deine haare sind dunkler
[16:57:49]  lillyisthier: jupp
[16:59:32]  lillyisthier: es waren echt die Muskeln siehst gleich viel mehr nach dir aus
[17:01:33]  lillyisthier: da oben bei der Kleidung sind tags die musst du manchmal Weg klicken um alle Kleidung zu sehen
[17:02:29]  lillyisthier: musst dir hält custom content runterladen
[17:05:45]  lillyisthier: kaltes Wetter kommt nur mit einem erweiterungs Paket
[17:06:00]  lillyisthier: seasons um genau zu sein
[17:06:14]  lillyisthier: für den steil
[17:06:46]  lillyisthier: deine Brille ist weg
[17:07:25]  lillyisthier: denk ans zwischen speichern
[17:08:49]  lillyisthier: musst du auf den Check Marke rechts unten gehen aber dann ist auch das halb fertige gespeichert
[17:09:04]  lillyisthier: Ole ist noch blasser als du
[17:11:47]  lillyisthier: die Sims wie gut kenne ich meine Freunde wirklich jetzt mit j0nas500
[17:12:38]  lillyisthier: ich finde du musst dich wirklich mal nach CC ( custom content) um schauen
[17:13:51]  lillyisthier: liegt daran das du nur andere Männer kennst
[17:14:03]  henner247: LUL
[17:14:14]  lillyisthier: dass ihr alle gleich angezogen seien werdet
[17:14:18]  j0nas500: Chatregeln: https://j0nas500.de/rules
[17:15:46]  lillyisthier: ich bin für das das aus sieht als ob er überfahren wurde
[17:16:34]  lillyisthier: da war ein weißes T-Shirt mit grauen print und das sieht aus wie Reifen spuren für mich
[17:20:53]  lillyisthier: wann machst du eigentlich all deine schönen Effekte Heil?
[17:22:25]  lillyisthier: das ist gut
[17:23:22]  lillyisthier: er hat ein sehr eckiges Kinn
[17:23:36]  lillyisthier: dunkler als Ole
[17:24:19]  lillyisthier: eine Frisur weiter
[17:24:49]  lillyisthier: da drunter die
[17:24:59]  lillyisthier: auch gut
[17:25:39]  lillyisthier: wuschlig ist auch gut
[17:26:53]  lillyisthier: lass es einfach in Ruhe und tue so als gäbe es all diese Effekte gar nicht
[17:28:30]  lillyisthier: immer schön speichern wir wollen ja nichts verlieren
[17:29:18]  lillyisthier: ich mag die Hasen Pantoffeln
[17:30:08]  lillyisthier: ich finde das alles auch schon lustig
[17:30:34]  henner247: jonas warst heute bei der demo?
[17:30:55]  lillyisthier: gibt es die  Hasen in mehreren Farben?
[17:31:33]  henner247: war die schon um 11:30 LUL
[17:31:54]  henner247: viel zu früh
[17:32:22]  lillyisthier: selber blöd wenn du bis 1 machst
[17:32:48]  lillyisthier: ich bin brav um 22 uhr ins Bett gegangen
[17:33:01]  lillyisthier: und ich bin zu Hause also ja
[17:33:42]  lillyisthier: kannst sie aber für dich anschauen
[17:40:11]  lillyisthier: schau bitte bei den Hasen nach anderen Farben
[17:46:18]  henner247: die haare müssen dunkler
[17:47:05]  henner247: in der zweiten reihe ganz links?
[17:49:03]  fabxx45: der arme ben der hat ganrix gemachtr
[17:51:30]  fabxx45: würdest du eher lion richitg hart schlagen oder lion töten
[17:51:33]  fabxx45: sus die frage
[17:51:55]  fabxx45: ne so hart im gesich
[17:51:56]  fabxx45: t
[17:51:59]  j0nas500: Folge mir auf Twitter: https://twitter.com/j0nas500
[17:52:19]  fabxx45: mir is nix bessers einfegallen XD
[17:54:05]  fabxx45: so ein richtiger dumbo
[17:55:07]  fabxx45: yes
[17:55:10]  fabxx45: im editor mode
[17:55:35]  fabxx45: wähl erstmal ein haus wo du wohnst
[17:56:10]  fabxx45: bau selber
[17:57:14]  tsd_pyro: warum
[17:57:24]  tsd_pyro: die bilder
[17:57:42]  fabxx45: ja welt verwalten
[17:57:44]  tsd_pyro: wo bin ich ?
[17:57:50]  lillyisthier: du solltest dich bei den cheat Codes belesen
[17:57:59]  fabxx45: dann eine welt auswählen
[17:58:03]  fabxx45: auf einen haushalt
[17:58:08]  fabxx45: dann auf die werkzeuge
[17:58:27]  fabxx45: oder auf die punkte
[17:58:28]  tsd_pyro: dovj
[17:58:31]  tsd_pyro: doch
[17:58:32]  fabxx45: es war auf die punkte XD
[17:58:47]  tsd_pyro: ich bin 18
[17:58:56]  fabxx45: neben der glühbirne
[17:59:03]  lillyisthier: jetzt bist du im Bild mode
[17:59:14]  tsd_pyro: Wen gibt es ?
[17:59:45]  fabxx45: wenn du sie favourisierst kannst du sie spielen
[18:00:30]  lillyisthier: lösch sie einfach
