# Start logging at 2021-10-16 17:57:46 Mitteleuropäische Sommerzeit
[17:57:46] connected
[17:58:54] j0nas500 redeemed Trink Wasser 200
[17:59:02]  j0nas500: a
[17:59:15]  j0nas500: !rollen
[17:59:15]  j0nas500: Erklärungen zu den Rollen findest du hier: https://jnkl.de/rollen
[17:59:44] j0nas500 is live!
[20:19:35]  tsd_pyro: j0 mein hübscher ein wunderschönen Abend und warum letzte schmerzvolle Tag?
[20:19:55]  tsd_pyro: ok
[20:20:27]  tsd_pyro: wie heißt shi richtig ?
[20:20:36]  fabxx45: selber a
[20:20:38]  fabxx45: A MOMENT
[20:20:47]  tsd_pyro: ja der richtige name
[20:23:11]  fabxx45: basement moment
[20:24:22] AutoMod: Held a message for reason: sexwords level 1. Allow will post it in chat. Allow Deny
[20:24:22] fabxx45: boobs or ass
[20:24:34]  fabxx45: j0 schau mal automod
[20:24:47] j0nas500 added boobs as a permitted term on AutoMod.
[20:24:47] j0nas500 added ass as a permitted term on AutoMod.
[20:24:47]  fabxx45: boobs or ass
[20:24:47]  fabxx45: die frage ist wichtig
[20:24:54] Unrecognized command: /poll
[20:26:06]  fabxx45: frech
[20:27:17]  sarah_emerald_: Hi puschHi
[20:27:35]  fabxx45: einfach von deception outplayed
[20:27:43]  fabxx45: popCat
[20:36:52]  tsd_pyro: spirit
[20:37:34]  sarah_emerald_: Der mit der Tüte wäre lustig XD
[20:52:01]  tsd_pyro: kann man mitspielen ^^
[20:52:22]  tsd_pyro: oder net ?
[20:54:08]  tsd_pyro: also wen das cool ist ^^
[20:55:03]  tsd_pyro: okay dhaluCritical
[21:25:09]  lawezz: wieso letzter Tag?
[21:26:02]  lawezz: also quittest du dbd?
[21:26:15]  lawezz: imagine
[21:27:11]  lawezz: k :(
[21:27:40]  lawezz: doch k :(
[21:28:03]  lawezz: gaming in a nutshell
[21:28:16]  otp_elias: Boar krank mal keine werbung beim stream öffnen sheesh
[21:28:20]  lawezz: nein
[21:28:25]  j0nas500: Schau doch gerne mal bei unserer Community-Webseite vorbei :) https://mvbuddies.de
[21:28:40]  lawezz: ich spiele weil es mir spaß macht nicht wegen irgendeinem ziel
[21:28:55] otp_elias redeemed Trink Wasser 200
[21:28:59]  otp_elias: nich sterben
