# Start logging at 2021-10-25 14:05:01 Mitteleuropäische Sommerzeit
[14:05:01] connected
[14:08:54] j0nas500 is live!
# Start logging at 2021-10-25 14:09:05 Mitteleuropäische Sommerzeit
[14:09:05] connected
[14:09:07] j0nas500 is live!
[16:09:42]  j0nas500: a
[16:10:29]  fabxx45: a#
[16:10:32]  fabxx45: #a
[16:10:54]  j0nas500: heute mit deiner musik @fabxx45
[16:11:07]  fabxx45: merk ich
[16:11:48]  j0nas500: gib mir 2min dann habe ich zu ende aufgegessen LUL
[16:12:05]  fabxx45: https://youtu.be/1PUsih-V9P4
[16:12:08]  fabxx45: mach mal das an
[16:12:32]  fabxx45: das bild wird dir auch gefallen XD
[16:15:44]  fabxx45: meine postlerzahl ist 3390 melk
[16:18:34]  fabxx45: bildschirmaufnahme
[16:20:03]  fabxx45: oh shit here we go again
[16:20:10]  herr_elo: oha du hast das wieder gemacht?
[16:20:40]  fabxx45: auf lion oder jan einen jaxen
[16:21:48]  fabxx45: zeig video
[16:22:22]  herr_elo: öffne das doch auf yt
[16:22:57]  fabxx45: beste leben
[16:23:40]  herr_elo: xD
[16:23:48]  fabxx45: ich möcht mich lsöchen
[16:24:42]  herr_elo: ich versteh einfach garnichts
[16:29:57] Updated title to Schulprojekt: Wahlvideos angucken
[16:30:18]  fabxx45: bezahl bare wohnungen da sieht sich j0
[16:32:17]  herr_elo: ich kenne da auch paar leute von
[16:33:10]  herr_elo: is ja langweilig
[16:34:07]  fabxx45: JOOOOOOOOOOOOOOOOO
[16:36:31]  fabxx45: stock fotos be like
[16:37:16]  herr_elo: man muss sich aber auch erstmal einigen wer das machen muss
[16:38:39]  fabxx45: einfach bei verpackungen drauf speichern wer das gekauft hat
[16:39:27]  fabxx45: ich leb in österreich lass mich
[16:40:48]  baumschulstuhl: was geht
[16:41:02]  fabxx45: wer ist sie
[16:41:10]  baumschulstuhl: sie is soooo high
[16:41:13]  baumschulstuhl: sheesh
[16:41:30]  baumschulstuhl: da kam die cannabis legalisierung schon durch
[16:42:47]  fabxx45: kurz
[16:42:48]  baumschulstuhl: hat mich überzeugt
[16:42:52]  fabxx45: des schau ma
[16:44:10]  fabxx45: das gibt kein kuss auf die nuss
[16:44:45]  fabxx45: smolBrain
[16:44:49]  baumschulstuhl: mashalla haare
[16:45:09]  baumschulstuhl: einfach gegenteil von 4head
[16:45:16]  baumschulstuhl: 0.1 head
[16:45:27]  fabxx45: das schu schulsystem
[16:45:33]  baumschulstuhl: JAA GEGEN HAUSAUFGABEN
[16:45:37]  baumschulstuhl: FÜR DUMMHEIT
[16:46:10]  baumschulstuhl: die strichmännchen machen des auch nochmal ernster xD
[16:46:35]  fabxx45: wir brauchen kanabis
[16:46:39]  baumschulstuhl: wer ist der andere den wähl ich als kanzler
[16:47:10]  baumschulstuhl: der markt regelt schon jungs
[16:47:25]  fabxx45: einfach j0
[16:47:27]  baumschulstuhl: camera quali sheesh
[16:47:29]  fabxx45: früher halt
[16:47:47]  baumschulstuhl: ne j0 hat mehr muskeln
[16:47:57]  fabxx45: er hat gar kein bock
[16:48:16]  baumschulstuhl: die lacht sogar junge die haben selber keinen bock drauf xD
[16:48:42]  fabxx45: +rep
[16:48:42]  baumschulstuhl: ogott
[16:48:47]  baumschulstuhl: ogottogottogott
[16:48:59]  baumschulstuhl: 420 kmh pls
[16:49:02]  fabxx45: warum nicht 187
[16:49:10]  baumschulstuhl: wähl ich will poppen xD
[16:49:40]  baumschulstuhl: der hat swag
[16:49:54]  fabxx45: shish
[16:50:32]  baumschulstuhl: so stell ich mir meinen beitrag zum klimawandel vor
[16:50:41]  fabxx45: ben garnix geamcht
[16:50:42]  baumschulstuhl: wow xD
[16:51:38]  fabxx45: shish
[16:51:48]  baumschulstuhl: haben schonmal mehr argumente als die cdu csu gebracht
[16:52:30]  baumschulstuhl: wtf was steht da im ersten absatz bei der unterüberschrift
[16:52:38]  fabxx45: warum 101
[16:53:12]  baumschulstuhl: ich wähl dich nie im leben
[16:53:22]  baumschulstuhl: die diskrimieren mein bundesland
[16:54:15]  fabxx45: warum hat lion kein video
[16:54:20]  baumschulstuhl: nee bitte nicht kein bock hier von nazis durch die straßen gejagt zu werden
[16:54:27]  baumschulstuhl: ihr seit nur neeeiiidiisccchhhhh
[16:54:53]  baumschulstuhl: ja wohin
[16:54:56]  baumschulstuhl: in deine wg
[16:55:24]  baumschulstuhl: minecraft mucke auf seriös oder was xD
[16:55:58]  baumschulstuhl: er stammelt so hart
[16:56:18] fabxx45 redeemed Trink Wasser 200
[16:56:52]  fabxx45: @BaumSchulStuhl du hast die wichtigste frage verpasst die ich j0 gestellt hab
[16:57:02]  baumschulstuhl: die wäre ?
[16:57:21]  fabxx45: einen auf dich oder lion jaxen
[16:57:37]  baumschulstuhl: ah chillige frage
[16:57:58]  baumschulstuhl: zum glück is bald nnn
[16:58:04]  fabxx45: er hat gesagt beide
[16:59:38]  herr_elo: der in der mitte nehme ich an
[16:59:57]  fabxx45: einfach kj
[17:00:52]  fabxx45: er crusht safe auf die andere seh ich ihn an
[17:05:24]  sandhai_tv: hi
[17:06:03]  herr_elo: aber es ist wohl oft auch so das frauen nicht so oft für solche berufe genommen werden wie männer habe ich gehört
[17:06:32]  herr_elo: z.b. in führungspositionen
[17:07:15]  herr_elo: ja
[17:08:00]  herr_elo: den typen kenne ich auch
[17:09:08]  fabxx45: das ist j0
[17:11:25]  fabxx45: wir wählen ihn
[17:11:28]  fabxx45: alles geklärt
[17:11:30]  fabxx45: wir wählen j0
[17:13:08] Updated title to Es geht weiter mit Hanisauland
