# Start logging at 2021-11-02 13:48:29 Mitteleuropäische Zeit
[13:48:29] connected
[13:50:26] j0nas500 is live!
[13:50:32]  j0nas500: a
[13:50:40] j0nas500 redeemed Trink Wasser 200
[13:56:11]  otp_elias: du und minecraft ??
[13:56:44]  otp_elias: Ok Roboter j0
[13:56:50]  otp_elias: ich habe nichts verstanden
[13:57:25]  otp_elias: jep du warst sehr sehr unverständlich
[14:00:42]  otp_elias: Ja ich wäre so oder so bei so einem rpg der der in der mine chillt
[14:01:00]  otp_elias: Bauen kann ich nicht
[14:01:06]  otp_elias: heißt 0 kreativität
[14:01:26]  otp_elias: Flint and Steal
[14:01:28]  otp_elias: glaube so
[14:01:36]  otp_elias: flint iwas
[14:03:19]  otp_elias: tot
[14:03:43]  otp_elias: Ich denke das ist iwas mit blut
[14:03:50]  otp_elias: das man vllt ausblutet dieses rote
[14:04:01]  otp_elias: wenn man geboxt wurde
[14:05:58]  herr_elo: machst du am wochenende mit elias?
[14:06:52]  otp_elias: Ah spielt ihr meist alle am we ?
[14:07:20]  herr_elo: ja
[14:07:32]  herr_elo: bzw da ist der server nur on
[14:08:15]  otp_elias: Ich gucke mal
[14:08:34]  otp_elias: Weil ich Papa we habe
[14:09:16]  otp_elias: Geil
[14:09:18]  otp_elias: xD
[14:09:24]  herr_elo: ah ja jonas
[14:09:25]  j0nas500: Auf diesem Discord Server quatschen und schreiben wir immer: https://jnkl.de/dc
[14:12:11]  otp_elias: for me ?
[14:12:22]  otp_elias: 👉👈
[14:13:14]  j0nas500: !kcreset
[14:13:17]  j0nas500: Kruiz Control Initialized
[14:13:20]  j0nas500: !mitmachen
[14:13:21]  j0nas500: Um an dem MC RP Adventure Server teilzunehmen, musst du auf den Discord Server dir die Rolle Minecraft geben, der dir Zugriff auf alle relevanten Informationen gibt. Discord: https://jnkl.de/dc
[14:13:21]  j0nas500: Discord: jnkl.de/dc
[14:17:32]  otp_elias: Ich bin stolz auf mich
[14:17:41]  otp_elias: im chatters leaderboard wäre ich eig 3 platz ^^
[14:18:09]  otp_elias: ne doch nur 4er
[14:18:30]  j0nas500: !kcreset
[14:18:32]  j0nas500: Kruiz Control Initialized
[14:18:36]  j0nas500: !prime
