# Start logging at 2021-12-03 19:42:35 Mitteleuropäische Zeit
[19:42:35] disconnected
[19:42:48]  j0nas500: FeelsDankMan
# Start logging at 2021-12-03 21:13:48 Mitteleuropäische Zeit
[21:13:48] connected
[21:13:50] j0nas500 is live!
[21:19:25]  henner247: die 2 wochen gingen aber schnell vorbei LUL
[21:19:39]  fabxx45: du bist auch eine datei
[21:19:54]  fabxx45: j0nas5Wtf
[21:20:58]  fabxx45: lion ist ne datei mit fehlern
[21:22:50] cxrynx_ redeemed Jesus, oh oh eh oh 300
[21:23:04]  cxrynx_: KEIN DING
[21:23:08] cxrynx_ redeemed OOF 100
[21:23:49] cxrynx_ redeemed Mein Name 150
[21:23:55] henner247 redeemed Putinwalk 150
[21:24:04]  fabxx45: imagine dbd
[21:24:33]  henner247: wtf xD
[21:26:20]  fabxx45: j0 wann kommt eigentlich crab game wieder KEKW
[21:26:33]  fabxx45: da gibts nen update
[21:26:43]  fabxx45: skin update
[21:32:25] Updated game to Minecraft
[21:33:49]  fabxx45: ach j0 ich weiß nicht was ich zocken soll
[21:34:49]  fabxx45: jetzt halt eigentlich dead
[21:36:18]  fabxx45: lilly kenn ich
[21:37:37]  fabxx45: SUS
[21:38:29]  fabxx45: nice unterhaltung
[21:39:42]  fabxx45: einfach tornado
[21:39:58]  fabxx45: du häst sagen müssen sehe ich aus wie ein villager
[21:41:25]  henner247: geh mal jessiker besuchen
[21:42:00]  fabxx45: 7 euro 50 pro woche
[21:42:42]  fabxx45: was sagt den task manager
[21:43:05]  fabxx45: das ist schlecht
[21:43:21]  henner247: nein oben auf dem berg
[21:43:37]  henner247: wie findest du ihr neues haus :^)
[21:44:09]  henner247: :(
[21:44:41]  henner247: heute nachmittag und letzte woche ^^
[21:45:28]  fabxx45: ehm
[21:45:39]  henner247: meiner ist auch nicht lang genug
[21:45:53]  fabxx45: also
[21:49:09]  fabxx45: imagine in rainbow die effekte Xd
[21:53:54]  fabxx45: hast du gut gemacht j0
[21:56:28]  fabxx45: ich spiel einfach cyberpunk
[22:19:54] 4 raiders from Lawezz have joined!
[22:19:59]  j0nas500: Vielen Dank für den Raid mit 4 Zuschauern. Lawezz hat zuletzt League of Legends gestreamt. Schaut doch gerne auch mal bei @Lawezz vorbei: https://twitch.tv/Lawezz
[22:20:00]  lawezz: stream start?
[22:20:26]  lawezz: frech das nur 4 von 7 mitgekommen sind
[22:20:59]  lawezz: warum sprechen eigentlich es alle gitthub aus?
[22:21:10]  lawezz: heißt es nich gifffthub?
[22:21:20]  lawezz: ja
[22:21:26]  lawezz: wait
[22:21:38]  lawezz: tatsache
[22:21:47]  lawezz: könnte schwören da wäre nh f drinne
[22:22:02]  lawezz: miese mandelaeffekt
[22:22:12]  lawezz: aber welches problem meintest du?
[22:22:24]  lawezz: ach löschen
[22:23:33]  lawezz: ja crash war mit dc is crashed ließ ,sich nicht mehr starten und dann hab ich pc rebooted dann war gut gefixed
[22:23:45]  lawezz: das , vor das ließ
[22:24:11]  lawezz: ja das war ganz ganz komisch
[22:24:37]  lawezz: will nur mal betonen das league fckin 4 gb groß ist und mein pc damit nicht zurecht kommt
[22:25:05]  lawezz: löschen
[22:25:12] Updated game to Pony Island
[22:25:20]  lawezz: welches gameß
[22:25:33]  lawezz: imagine kein mc mehr
[22:25:55]  lawezz: daniel mullins
[22:26:12]  lawezz: DaHHniäl Muhllihns
[22:26:18]  lawezz: deutsch Kappa
[22:26:44]  lawezz: dafür gibt es sound settings
[22:27:32]  lawezz: ja mach wieder lauter wenns dir zualut ist KEKW
[22:27:57]  lawezz: kein geld? PepegaCard
[22:28:12]  lawezz: RNG
[22:30:14]  lawezz: wait j0
[22:30:30]  lawezz: mir fällt auf das ich lurker hab, die geld für mich ausgeben xD
[22:30:45]  lawezz: bei 69 ende Kappa
[22:30:48]  lawezz: ka
[22:31:37]  lawezz: das? https://twitch.subscribers.com
[22:31:53]  lawezz: das was du gesagt hast
[22:32:18]  lawezz: ne den hab ich reininterpretiert
[22:32:20]  j0nas500: https://www.twitchsubscribers.com/
[22:32:50]  lawezz: ok das hab ich nich erwartet
[22:33:33]  lawezz: nein ich leake gar nicht
[22:33:39]  lawezz: ich heiße ja nicht j0
[22:35:12]  lawezz: schreib selner
[22:35:15]  lawezz: selber*
[22:36:41]  lawezz: 1v@iF#r
[22:37:03]  lawezz: sieht aber so aus
[22:37:28]  lawezz: schreib einem von beidem selber
[22:37:45]  lawezz: die masu monkaEyes
[22:38:15]  lawezz: feuerwehrman samm
[22:39:18]  lawezz: schrei b selber peepo peepoGiggles
[22:39:29]  lawezz: nix doppel peepo
[22:40:01]  lawezz: den grünen pfeil links neben das loch?
[22:41:08]  lawezz: ich glaube nicht
[22:42:07]  lawezz: antialisync COCKEST
[22:43:28]  lawezz: j0 deine 7tv emotes kann man nicht fürs chatten nutzen
[22:43:51]  lawezz: hast du irgendwie nh 2te persöhnlichkeit die immernoch 12 istß
[22:47:14] fabxx45 redeemed Putinwalk 150
[22:47:38]  fabxx45: das ist nicht der putin walk sondern der chicken walk
[22:50:19]  tsd_pyro: Los Jonas fang alles Ponys und verkauf die. Wie geht es dir mein hübscher ^^
[22:50:20]  fabxx45: stverl
[22:50:44]  fabxx45: da stand stverl wenn du stirbst
[22:54:03]  fabxx45: ich würd dir ja helfen wenn ich wüsste was du gemacht hast
[22:55:08]  fabxx45: die hat einen nicen schnidl
[22:56:29]  fabxx45: bei den trännen ist ein code
[22:58:23] cxrynx_ redeemed Jesus, oh oh eh oh 300
[22:59:39]  fabxx45: click mal auf repariere startmenü
[23:01:08]  fabxx45: hallo ich würd nie cheaten
[23:02:27]  fabxx45: was passiert wenn man schneller als das game ist
[23:05:59]  fabxx45: ich glaube da passiert nix
[23:09:23]  fabxx45: KEKW
[23:09:40]  fabxx45: geometry dash dein fav game jonas
[23:11:52]  fabxx45: du bist betrüger
[23:12:44]  fabxx45: wie ubisoft gegen hacker vorgeht
[23:15:46]  fabxx45: er hat den größeren KEKW
[23:20:35]  fabxx45: er schlägt mehr auf die tastatur als ich
[23:27:02]  fabxx45: horny island
[23:27:32]  fabxx45: siedler von catan
[23:29:12]  fabxx45: teleporter
[23:42:21]  lillyisthier: was zur hölle spielst du ?
[23:43:37]  lillyisthier: sieht aus wie das secret love child von undertale und ... eigentlich sieht es nur ganz
[23:43:45]  lillyisthier: schön nach undertale aus
[23:44:02]  hoelenlord: so j0
[23:44:55]  lillyisthier: warum eigentlich kein mincraft heute warst nur kurz da
[23:46:15]  hoelenlord: schade dachte schon game crash
[23:46:52]  hoelenlord: weil du standbild hattest du dumbo
[23:46:56]  lillyisthier: ich hab da ne riesen höhle unter meiner insel und drei millionen zweigen da könnte ich hilfe mit brauchen
[23:47:12] hoelenlord redeemed OOF 100
[23:47:48]  hoelenlord: XD
[23:49:05]  lillyisthier: morgen spiele ich nicht muss ne has
[23:49:16]  lillyisthier: hausarbeit schreiben
[23:50:03]  hoelenlord: imagine hacken um nein zu sagen wo sind wir bei EA oder was
[23:52:22]  hoelenlord: ich weiß nicht was schlimmer ist EA oder ubisoft
[23:53:20]  lillyisthier: war da nicht noch ein level unten
[23:54:39] lillyisthier redeemed Putinwalk 150
[23:54:47]  lillyisthier: das ist neu
